CO-BRANCH;OFFICE;PRODUCT;GROUP;Des-25;Jan-26;Feb-26;Mar-26;Apr-26;Mei-26;Jun-26;Jul-26;Agu-26
351 - LAMPUNG;352 - KCP BANDAR JAYA;Giro;CASA;5.065.726.101;6.583.095.143;5.681.905.728;5.586.180.564;5.705.241.391;5.585.929.616;5.877.637.739;6.049.436.066;6.111.597.745
351 - LAMPUNG;352 - KCP BANDAR JAYA;Tabungan;CASA;24.336.816.984;23.564.062.397;23.483.166.589;24.206.661.441;24.784.694.979;25.591.125.142;26.287.572.883;25.953.249.323;26.597.496.267
351 - LAMPUNG;353 - KCP METRO LAMPUNG;Deposito;TD;24.736.745.320;24.772.684.646;17.436.389.362;17.248.885.950;17.468.933.984;17.787.672.013;24.204.099.950;24.440.561.615;24.858.056.475
351 - LAMPUNG;353 - KCP METRO LAMPUNG;Giro;CASA;20.292.811.902;13.361.845.253;18.719.090.565;17.248.398.558;15.253.312.276;13.581.849.608;25.289.581.082;13.105.157.967;16.854.596.151
351 - LAMPUNG;353 - KCP METRO LAMPUNG;Tabungan;CASA;47.106.883.887;45.170.348.958;44.986.643.689;42.035.435.080;42.578.581.655;41.948.492.544;38.716.737.764;40.595.072.357;39.700.833.864
351 - LAMPUNG;355 - KCP ZA PAGAR ALAM LAMPUNG;Deposito;TD;28.524.798.932;28.252.558.197;27.893.266.349;28.025.545.070;30.077.958.298;28.597.801.292;28.508.031.635;31.273.689.361;31.879.916.841
351 - LAMPUNG;355 - KCP ZA PAGAR ALAM LAMPUNG;Giro;CASA;3.558.372.278;4.481.326.469;4.865.273.951;5.663.535.396;5.168.612.267;6.858.629.435;6.172.852.986;10.211.793.328;10.286.177.142
351 - LAMPUNG;355 - KCP ZA PAGAR ALAM LAMPUNG;Tabungan;CASA;37.574.239.360;36.929.411.753;35.167.445.412;38.895.222.233;35.197.609.114;34.676.303.519;35.962.545.588;37.940.340.915;37.269.326.036
351 - LAMPUNG;356 - KCP KOTABUMI LAMPUNG;Deposito;TD;26.345.344.813;26.372.207.122;16.303.004.442;16.275.580.926;11.375.717.259;11.335.883.488;18.327.879.799;19.870.968.326;19.986.120.419
351 - LAMPUNG;356 - KCP KOTABUMI LAMPUNG;Giro;CASA;4.646.472.371;1.402.136.387;5.341.685.629;1.502.552.529;4.243.231.686;1.082.580.889;1.808.331.142;2.740.509.252;3.688.075.120
351 - LAMPUNG;356 - KCP KOTABUMI LAMPUNG;Tabungan;CASA;39.433.009.813;38.506.057.231;37.673.199.098;38.514.587.891;39.815.808.729;40.822.467.167;40.400.852.780;40.280.316.856;40.909.721.033
361 - PALEMBANG;361 - PALEMBANG;Deposito;TD;86.535.142.036;68.132.222.643;67.141.665.949;67.860.044.153;58.097.355.315;60.624.207.376;64.067.786.870;60.590.510.229;60.398.746.858
361 - PALEMBANG;361 - PALEMBANG;Giro;CASA;15.015.687.170;18.063.811.599;10.328.189.446;9.003.495.345;10.972.461.919;8.816.054.693;18.546.766.317;21.719.599.682;20.208.367.909
361 - PALEMBANG;361 - PALEMBANG;Tabungan;CASA;81.366.999.644;78.321.132.792;75.773.214.279;77.164.643.332;86.129.400.059;84.769.269.584;83.776.354.161;84.912.430.438;85.069.828.728
361 - PALEMBANG;366 - KCP PLAJU;Deposito;TD;25.344.439.067;24.890.803.158;23.988.812.746;23.846.203.676;26.643.536.232;26.565.388.221;27.033.432.252;27.242.225.777;27.761.813.644
361 - PALEMBANG;366 - KCP PLAJU;Giro;CASA;5.407.408.843;5.253.902.861;4.759.015.797;4.504.982.349;3.776.063.326;3.978.193.473;2.609.237.674;3.604.213.971;3.507.826.875
361 - PALEMBANG;366 - KCP PLAJU;Tabungan;CASA;40.367.090.312;39.494.933.699;39.128.015.108;39.391.498.631;40.789.928.960;42.302.007.851;40.462.610.386;42.644.340.741;41.109.178.491
361 - PALEMBANG;398 - KCP BATURAJA;Deposito;TD;16.803.940.016;16.327.539.522;15.844.591.055;16.920.730.586;17.535.756.375;16.917.679.314;16.312.947.039;14.795.095.835;15.055.591.403
361 - PALEMBANG;398 - KCP BATURAJA;Giro;CASA;8.145.975.261;6.209.378.056;5.866.248.339;6.197.190.510;6.161.712.217;7.570.761.844;5.802.906.852;10.246.462.104;9.704.765.539
361 - PALEMBANG;398 - KCP BATURAJA;Tabungan;CASA;19.217.577.502;18.525.441.910;18.527.204.381;16.910.895.785;17.068.027.986;17.132.401.717;17.897.527.885;19.849.910.659;18.072.474.784
361 - PALEMBANG;401 - KCP ENIM;Deposito;TD;56.896.085.308;31.328.033.673;30.864.347.780;58.276.035.260;29.475.250.994;28.065.039.799;29.074.436.977;31.980.056.729;32.708.360.729
361 - PALEMBANG;401 - KCP ENIM;Giro;CASA;983.209.541;982.937.555;707.959.063;703.427.658;710.208.913;710.263.400;749.720.359;701.594.230;701.514.230
361 - PALEMBANG;401 - KCP ENIM;Tabungan;CASA;33.556.065.810;32.411.475.955;30.580.519.776;29.827.672.947;28.871.673.657;29.524.950.405;30.462.839.947;31.892.072.240;31.643.167.554
371 - PANGKAL PINANG;371 - PANGKAL PINANG;Deposito;TD;91.146.325.891;90.080.595.912;94.361.918.026;94.275.795.006;99.572.035.925;99.151.606.001;99.218.587.077;104.392.101.959;104.592.139.001
371 - PANGKAL PINANG;371 - PANGKAL PINANG;Giro;CASA;8.766.907.232;13.858.685.036;8.559.387.280;8.421.958.312;2.486.008.698;2.520.127.608;3.179.034.111;2.322.328.799;2.827.367.120
371 - PANGKAL PINANG;371 - PANGKAL PINANG;Tabungan;CASA;148.752.778.701;136.954.812.966;133.022.919.787;136.880.621.163;140.353.064.298;143.872.567.226;145.840.033.842;143.269.886.280;137.444.560.256
371 - PANGKAL PINANG;372 - KCP TANJUNG PANDAN;Deposito;TD;19.927.793.378;20.802.929.735;20.602.928.259;19.751.014.508;19.823.436.246;19.386.708.915;18.858.349.915;17.517.350.315;17.554.989.854
371 - PANGKAL PINANG;372 - KCP TANJUNG PANDAN;Giro;CASA;17.970.150;17.770.150;17.570.150;17.370.150;17.170.151;17.040.151;16.955.151;16.902.651;16.622.651
371 - PANGKAL PINANG;372 - KCP TANJUNG PANDAN;Tabungan;CASA;51.999.294.961;48.839.183.846;48.378.579.206;48.627.024.432;47.259.713.396;46.973.804.132;47.710.695.199;47.667.553.472;47.686.910.331
371 - PANGKAL PINANG;373 - KCP SUNGAILIAT;Deposito;TD;49.338.172.950;49.386.340.469;34.303.373.567;49.127.962.613;47.969.168.432;46.407.917.895;46.218.078.003;45.230.708.721;44.212.081.121
371 - PANGKAL PINANG;373 - KCP SUNGAILIAT;Giro;CASA;564.952.199;547.785.493;731.679.127;543.678.474;579.740.447;584.498.914;585.705.942;606.233.556;661.889.236
371 - PANGKAL PINANG;373 - KCP SUNGAILIAT;Tabungan;CASA;46.679.096.897;44.579.178.342;58.777.218.751;41.948.508.475;44.059.015.379;45.949.167.950;47.191.806.127;46.450.981.646;46.167.270.069
371 - PANGKAL PINANG;495 - KCP KOBA;Deposito;TD;9.304.420.608;9.555.127.470;9.132.652.170;9.135.191.131;8.985.967.355;8.948.602.562;9.106.263.453;8.832.961.001;9.489.083.564
371 - PANGKAL PINANG;495 - KCP KOBA;Giro;CASA;14.791.260;14.691.260;35.602.260;35.519.637;14.428.637;14.396.137;14.331.137;14.298.637;14.218.637
371 - PANGKAL PINANG;495 - KCP KOBA;Tabungan;CASA;55.413.677.432;55.391.261.565;54.637.055.150;55.761.309.990;54.227.044.137;54.404.074.049;56.863.375.320;57.019.393.114;57.011.759.779
421 - PADANG;421 - PADANG;Deposito;TD;55.133.016.160;52.672.511.411;52.036.513.039;51.080.706.833;50.162.678.863;54.702.473.572;59.289.548.461;61.631.197.274;61.357.186.568
421 - PADANG;421 - PADANG;Giro;CASA;17.307.836.844;22.449.312.395;28.447.909.818;24.146.344.171;25.617.581.249;26.323.082.784;34.322.031.339;30.832.799.588;31.957.866.449
421 - PADANG;421 - PADANG;Tabungan;CASA;96.828.352.846;94.276.126.553;91.916.935.215;95.569.205.758;93.350.822.694;91.822.980.448;98.974.231.905;98.176.333.846;96.610.364.087
421 - PADANG;422 - KCP BUKITTINGGI;Deposito;TD;45.891.739.086;44.446.804.403;43.048.230.736;42.770.125.058;42.481.862.929;41.476.728.709;44.994.050.915;45.715.525.697;45.886.125.368
421 - PADANG;422 - KCP BUKITTINGGI;Giro;CASA;3.300.793.285;2.735.939.783;3.263.966.058;3.223.086.396;3.421.765.975;3.535.535.533;2.247.602.599;2.646.178.151;2.415.868.031
421 - PADANG;422 - KCP BUKITTINGGI;Tabungan;CASA;55.252.839.326;50.766.244.836;49.476.506.961;51.018.427.828;52.065.370.873;52.286.926.478;53.464.046.860;57.679.388.220;58.990.615.663
421 - PADANG;423 - KCP PAYAKUMBUH;Deposito;TD;68.740.721.506;51.441.412.436;50.149.211.404;44.160.514.975;41.778.021.949;42.737.108.593;45.166.999.297;43.818.876.883;42.560.857.411
421 - PADANG;423 - KCP PAYAKUMBUH;Giro;CASA;17.993.223.541;17.028.691.109;15.158.517.402;16.514.086.865;14.083.021.405;12.675.022.583;9.259.352.293;12.466.764.420;13.171.289.180
421 - PADANG;423 - KCP PAYAKUMBUH;Tabungan;CASA;50.851.928.448;48.040.119.916;41.034.525.386;39.267.346.014;41.411.296.324;45.859.729.616;49.522.437.952;46.549.292.021;48.489.951.861
421 - PADANG;424 - KCP SOLOK;Deposito;TD;16.889.768.188;17.814.867.476;17.538.803.957;15.383.639.980;15.413.238.817;16.845.986.742;18.698.649.204;20.464.373.951;20.458.635.353
421 - PADANG;424 - KCP SOLOK;Giro;CASA;1.317.245.347;990.124.740;1.447.960.551;1.113.147.285;1.148.689.494;1.078.445.067;1.358.874.303;1.327.650.344;680.284.740
421 - PADANG;424 - KCP SOLOK;Tabungan;CASA;38.584.647.897;36.936.603.685;33.782.711.791;37.754.966.301;37.062.442.106;34.131.077.017;38.614.519.841;38.746.075.350;39.573.002.648
431 - BENGKULU;431 - BENGKULU;Deposito;TD;52.558.141.291;50.736.839.042;49.204.067.870;48.757.150.130;58.319.532.277;56.598.664.169;56.667.761.518;61.347.803.938;60.653.779.633
431 - BENGKULU;431 - BENGKULU;Giro;CASA;10.082.774.866;10.043.466.204;19.911.610.774;20.683.261.044;18.323.290.588;17.862.465.908;18.037.184.138;18.245.900.064;18.011.558.936
431 - BENGKULU;431 - BENGKULU;Tabungan;CASA;89.518.540.815;83.654.472.990;81.020.088.677;82.300.981.670;82.893.742.267;82.960.141.094;82.108.112.651;84.501.758.543;84.295.986.286
